department,category,distribution_center_name,inventory_units,sold_units,unsold_units,sell_through_rate,median_days_to_sell,p90_days_to_sell,aged_181_plus_units,unsold_inventory_cost,unsold_inventory_retail_value
Men,Suits & Sport Coats,Savannah GA,1120,403,717,0.35982142857142857,29.0,52.80000000000001,638,54448.947054459495,132635.6500377655
Men,Suits & Sport Coats,Mobile AL,1672,613,1059,0.3666267942583732,28.0,54.0,939,40651.81547350583,102356.68937301636
Men,Suits & Sport Coats,New Orleans LA,1283,481,802,0.37490257209664846,31.0,55.0,710,71148.9480029123,174742.26025009155
Men,Suits & Sport Coats,Chicago IL,1011,376,635,0.37190900098911966,30.0,53.5,554,28404.84950772376,70590.8005104065
Women,Sweaters,New Orleans LA,1324,489,835,0.3693353474320242,31.0,55.0,747,19295.851094082725,43090.72985744476
Women,Sweaters,Chicago IL,2028,758,1270,0.373767258382643,30.0,53.30000000000007,1141,51226.218179649295,113536.81984138489
Women,Sweaters,Savannah GA,418,163,255,0.38995215311004783,32.0,53.0,222,13751.909092056763,31985.559810638428
Women,Sweaters,Mobile AL,1183,439,744,0.3710904480135249,29.0,54.0,641,25454.35478979989,57121.819885253906
Women,Plus,Chicago IL,2837,1046,1791,0.3686993302784632,31.0,53.0,1574,42592.52043428664,84623.37047302723
Women,Plus,New Orleans LA,1562,583,979,0.3732394366197183,30.0,53.80000000000007,875,14659.016180764213,29182.570103168488
Women,Plus,Savannah GA,570,218,352,0.3824561403508772,31.0,57.0,312,3894.5246187431267,7931.129892349243
Women,Plus,Mobile AL,1095,399,696,0.3643835616438356,30.0,53.19999999999999,633,18739.582610636993,36895.17983675003
Men,Shorts,Philadelphia PA,1657,617,1040,0.3723596861798431,31.0,53.0,944,26721.41580577355,53707.490198135376
Women,Shorts,Los Angeles CA,1171,434,737,0.3706233988044407,28.0,53.0,658,14728.963495165357,29416.07018852234
Men,Shorts,Charleston SC,2398,913,1485,0.38073394495412843,30.0,54.0,1325,33468.336599435184,66571.69004201889
Men,Shorts,Houston TX,1178,434,744,0.3684210526315789,27.0,54.0,662,22709.77623447026,45448.480030059814
Men,Underwear,Memphis TN,2660,981,1679,0.368796992481203,29.0,54.0,1496,19404.923266249098,41140.69005870819
Men,Underwear,Port Authority of New York/New Jersey NY/NJ,710,259,451,0.3647887323943662,30.0,55.0,392,6404.869684148178,13960.650005340576
Women,Blazers & Jackets,Houston TX,1495,559,936,0.3739130434782609,31.0,55.0,824,48259.41179622496,126517.65042495728
Women,Blazers & Jackets,Charleston SC,2958,1114,1844,0.37660581473968896,31.0,54.0,1640,23090.240826893703,60972.510130405426
Women,Blazers & Jackets,Philadelphia PA,515,187,328,0.36310679611650487,29.0,53.0,277,11253.202113163075,28973.15979194641
Women,Clothing Sets,New Orleans LA,25,9,16,0.36,26.0,45.0,14,1004.1677772682953,1570.8599700927734
Women,Clothing Sets,Mobile AL,192,73,119,0.3802083333333333,33.0,52.8,106,6509.757724907787,10402.540077209473
Women,Clothing Sets,Chicago IL,35,14,21,0.4,34.5,55.50000000000001,17,875.2133311261701,1334.7899761199951
Women,Dresses,Los Angeles CA,729,274,455,0.37585733882030176,29.0,55.0,399,18552.487869874396,41359.36016845703
Women,Skirts,New Orleans LA,634,232,402,0.3659305993690852,31.5,54.0,352,6451.510110758216,16288.760038375854
Women,Skirts,Chicago IL,512,193,319,0.376953125,29.0,54.0,287,5646.472242133939,14043.780082702637
Women,Skirts,Mobile AL,633,225,408,0.35545023696682465,35.0,53.0,358,7279.601597871931,18572.57004737854
Women,Skirts,Savannah GA,331,124,207,0.37462235649546827,31.5,54.0,188,4589.130942942169,11828.83999824524
Women,Sleep & Lounge,Chicago IL,3226,1200,2026,0.3719776813391196,31.0,53.0,1809,66517.25358381985,111101.71020698547
Women,Sleep & Lounge,New Orleans LA,1283,473,810,0.3686671862821512,31.0,53.80000000000001,723,14107.911988007543,23467.660215377808
Women,Sleep & Lounge,Savannah GA,895,333,562,0.37206703910614525,30.0,53.0,499,15622.267193528165,25701.76002597809
Women,Sleep & Lounge,Mobile AL,862,312,550,0.3619489559164733,32.0,54.0,495,11819.306420935147,19879.70006752014
Men,Sleep & Lounge,Los Angeles CA,2007,742,1265,0.369706028898854,30.0,54.0,1124,17458.494911532678,44451.97014045715
Men,Sweaters,Los Angeles CA,1876,700,1176,0.373134328358209,30.0,54.0,1061,33022.80938788368,65968.53081703186
Women,Swim,New Orleans LA,1302,474,828,0.3640552995391705,28.0,54.0,744,30344.745361772228,72438.38007926941
Men,Swim,Savannah GA,677,249,428,0.36779911373707536,33.0,53.0,379,16550.277438238227,27577.220108032227
Women,Swim,Mobile AL,1206,440,766,0.3648424543946932,28.5,54.0,682,16880.65361572209,40323.70024108887
Women,Swim,Savannah GA,353,128,225,0.3626062322946176,31.0,52.0,195,3508.6908212380195,8413.550241470337
Men,Swim,New Orleans LA,1533,584,949,0.38095238095238093,29.5,54.700000000000045,844,23657.467193709017,39154.03963088989
Women,Swim,Chicago IL,1754,651,1103,0.37115165336374,28.0,53.0,1009,21074.442765203363,50096.940143585205
Men,Swim,Mobile AL,2935,1088,1847,0.3706984667802385,30.0,54.0,1636,59778.49532180324,99996.93037986755
Men,Swim,Chicago IL,823,304,519,0.36938031591737547,28.0,52.0,463,14496.562670828192,24157.940084457397
Men,Accessories,Memphis TN,2344,876,1468,0.37372013651877134,30.0,53.5,1296,14622.76353266278,36561.60002732277
Men,Accessories,Port Authority of New York/New Jersey NY/NJ,1260,464,796,0.3682539682539683,30.0,53.0,710,7572.688741515134,19181.34996700287
Women,Accessories,Port Authority of New York/New Jersey NY/NJ,701,267,434,0.38088445078459343,28.0,54.400000000000006,377,4438.40035706158,11479.869991779327
Women,Accessories,Memphis TN,2039,752,1287,0.3688082393330064,30.0,54.0,1129,18955.72005399289,47604.00999381393
Men,Active,Memphis TN,2017,745,1272,0.36936043629152204,31.0,54.0,1121,28594.790327654468,69130.5903635025
Women,Active,Savannah GA,588,212,376,0.36054421768707484,29.0,55.0,328,5563.707592427302,13376.34992980957
Women,Active,Chicago IL,2532,941,1591,0.3716429699842022,31.0,54.0,1410,24330.465308095216,58177.010026454926
Men,Active,Port Authority of New York/New Jersey NY/NJ,2010,750,1260,0.373134328358209,28.0,54.0,1112,25716.960472103234,61589.33015346527
Women,Active,Mobile AL,381,145,236,0.3805774278215223,33.0,56.0,207,6145.91854142279,14835.150102615356
Women,Active,New Orleans LA,266,97,169,0.36466165413533835,26.0,52.400000000000006,141,2712.1575952483554,6476.229984283447
Women,Jeans,Philadelphia PA,1723,629,1094,0.3650609402205456,28.0,53.200000000000045,976,89461.85640677217,164544.73995780945
Women,Jeans,Charleston SC,300,110,190,0.36666666666666664,35.0,54.0,169,8549.40905722203,15758.590034484863
Men,Jeans,Chicago IL,1581,583,998,0.3687539531941809,31.0,54.0,881,51776.483528176504,98107.34988594055
Men,Jeans,Savannah GA,2914,1078,1836,0.3699382292381606,29.0,54.0,1629,142119.1615319567,267436.1396408081
Men,Jeans,Mobile AL,2698,1002,1696,0.3713862120088955,30.0,54.0,1504,106601.06467095605,200268.81040382385
Women,Jeans,Houston TX,643,241,402,0.374805598755832,32.0,53.0,360,17679.623127046372,32349.719974517822
Men,Jeans,New Orleans LA,1595,585,1010,0.3667711598746082,29.0,55.0,901,34883.6587175757,65956.17026519775
Women,Jumpsuits & Rompers,Charleston SC,1142,430,712,0.37653239929947463,32.0,55.0,633,6067.838144582706,11527.220026016235
Women,Jumpsuits & Rompers,Philadelphia PA,116,45,71,0.3879310344827586,29.0,52.6,65,1048.8181970625178,2002.6999950408936
Women,Jumpsuits & Rompers,Houston TX,162,60,102,0.37037037037037035,24.0,53.2,89,4452.825245044465,8432.9600315094
Women,Leggings,Los Angeles CA,689,263,426,0.38171262699564584,29.0,55.0,386,8381.792666150159,14001.150206565857
Women,Maternity,Houston TX,4455,1648,2807,0.3699214365881033,30.0,54.0,2501,54577.75264833127,123951.76932239532
Women,Maternity,Philadelphia PA,1418,540,878,0.38081805359661497,29.0,55.0,766,19804.619177756456,44935.07004356384
Women,Maternity,Charleston SC,1105,407,698,0.36832579185520364,31.0,52.400000000000034,621,15083.820464070288,33697.31969451904
Men,Outerwear & Coats,Chicago IL,883,329,554,0.3725934314835787,31.0,55.0,489,30587.999871758802,69344.32012939453
Men,Outerwear & Coats,Savannah GA,396,146,250,0.3686868686868687,29.5,54.5,216,29968.31639845611,67459.91005516052
Women,Outerwear & Coats,Los Angeles CA,799,305,494,0.38172715894868586,32.0,53.0,439,32885.930629900766,72506.69004440308
Men,Outerwear & Coats,Mobile AL,1696,627,1069,0.3696933962264151,32.0,54.0,939,69330.08750882754,155402.75016403198
Men,Outerwear & Coats,New Orleans LA,1033,395,638,0.3823814133591481,30.0,54.0,561,60277.22562311786,136393.5199317932
Women,Tops & Tees,Chicago IL,991,366,625,0.3693239152371342,31.5,54.0,566,15798.327595691231,28293.869997024536
Women,Tops & Tees,New Orleans LA,1155,421,734,0.3645021645021645,29.0,54.0,643,16720.672272936004,30146.260181427002
Men,Tops & Tees,Savannah GA,1251,467,784,0.3733013589128697,30.0,56.0,697,23491.959649606808,41514.85996437073
Men,Tops & Tees,Chicago IL,2175,788,1387,0.3622988505747126,30.0,53.0,1256,31321.29860051998,55240.930435180664
Women,Tops & Tees,Mobile AL,755,285,470,0.37748344370860926,29.0,53.599999999999994,432,9289.248543921145,16737.68995141983
Men,Tops & Tees,Mobile AL,2442,889,1553,0.36404586404586403,29.0,53.0,1392,40920.55170056204,72888.40020561218
Men,Tops & Tees,New Orleans LA,740,278,462,0.37567567567567567,28.0,55.0,406,12888.161833398985,22770.719999313354
Women,Tops & Tees,Savannah GA,575,219,356,0.3808695652173913,31.0,53.0,316,12256.00980911515,22053.63005065918
Women,Fashion Hoodies & Sweatshirts,Savannah GA,463,171,292,0.3693304535637149,29.0,54.0,263,6977.262081710748,14659.559997558594
Women,Fashion Hoodies & Sweatshirts,Chicago IL,1779,660,1119,0.37099494097807756,29.5,53.0,1007,24867.44996277109,52945.28027534485
Men,Fashion Hoodies & Sweatshirts,Memphis TN,2074,764,1310,0.36837029893924783,31.0,55.0,1158,42108.88203034938,76458.68011283875
Women,Fashion Hoodies & Sweatshirts,Mobile AL,1331,496,835,0.37265214124718254,31.0,54.0,744,18383.343627595466,39214.42997932434
Women,Fashion Hoodies & Sweatshirts,New Orleans LA,1031,375,656,0.36372453928225024,31.0,54.0,589,11453.43806101404,24182.600004196167
Men,Fashion Hoodies & Sweatshirts,Port Authority of New York/New Jersey NY/NJ,1813,680,1133,0.37506894649751793,29.5,54.0,1004,36245.3925201276,65610.7898349762
Women,Intimates,Savannah GA,3207,1178,2029,0.3673214842531961,29.0,54.0,1793,34822.98783434859,65637.34026813507
Women,Intimates,New Orleans LA,1813,671,1142,0.37010479867622725,30.0,54.0,1010,21041.679663812105,39637.52010536194
Women,Intimates,Chicago IL,7598,2807,4791,0.3694393261384575,30.0,54.0,4256,84105.63525465399,157697.11987686157
Women,Intimates,Mobile AL,3507,1303,2204,0.37154262902765894,31.0,55.0,1965,46476.54742631286,87803.79992866516
Men,Pants,Savannah GA,1253,475,778,0.3790901835594573,30.0,56.0,692,26645.995449128543,57621.939556121826
Men,Pants,Mobile AL,1629,598,1031,0.3670963781461019,29.0,54.0,924,39659.16052855021,87147.1499042511
Men,Pants,Chicago IL,1844,684,1160,0.37093275488069416,30.0,54.0,1025,36285.244936814604,79830.26014709473
Men,Pants,New Orleans LA,1465,545,920,0.3720136518771331,30.0,54.0,826,26969.109108408644,59083.020139694214
Women,Pants & Capris,New Orleans LA,980,362,618,0.3693877551020408,31.0,54.0,550,13310.900295530797,25053.880266189575
Women,Pants & Capris,Chicago IL,1428,522,906,0.36554621848739494,29.0,54.0,817,24820.385103704753,46383.459955215454
Women,Pants & Capris,Mobile AL,667,251,416,0.37631184407796103,30.0,55.0,372,13565.007536214409,25627.560243606567
Women,Pants & Capris,Savannah GA,597,221,376,0.37018425460636517,31.0,54.0,331,11651.494789846402,22343.380025863647
Men,Socks,Port Authority of New York/New Jersey NY/NJ,2180,794,1386,0.3642201834862385,30.0,54.0,1247,15586.678114573931,25985.739999771118
Men,Socks,Memphis TN,2264,841,1423,0.37146643109540634,31.0,54.0,1268,18684.777489142754,30845.23012161255
Women,Socks & Hosiery,Los Angeles CA,1276,462,814,0.3620689655172414,32.0,54.0,738,5609.842547405766,13764.729895591736
Women,Suits,Chicago IL,172,67,105,0.38953488372093026,26.0,55.4,93,9280.930937330006,15331.999954223633
Women,Suits,Savannah GA,163,63,100,0.38650306748466257,21.0,52.0,90,7539.905483718361,12722.630157470703
Men,Suits & Sport Coats,Memphis TN,1747,645,1102,0.3692043503148254,31.0,54.0,974,64724.83806090005,161644.62949371338
Men,Suits & Sport Coats,Port Authority of New York/New Jersey NY/NJ,1665,631,1034,0.378978978978979,29.0,53.0,917,40822.03343223305,101041.71978378296
Men,Sweaters,Charleston SC,1477,546,931,0.3696682464454976,29.0,54.0,825,26318.301851140757,53102.22006416321
Women,Sweaters,Memphis TN,1628,609,1019,0.3740786240786241,29.0,53.0,896,36622.84131654566,81019.29051971436
Women,Sweaters,Port Authority of New York/New Jersey NY/NJ,641,240,401,0.374414976599064,27.0,53.0,365,9041.572905608102,20177.019841194153
Men,Sweaters,Houston TX,2289,846,1443,0.36959370904325034,30.0,54.5,1270,54179.09528560792,108476.73950576782
Women,Plus,Memphis TN,1150,414,736,0.36,30.0,54.0,649,12900.967506749195,25916.63010406494
Women,Plus,Port Authority of New York/New Jersey NY/NJ,945,352,593,0.3724867724867725,30.0,54.0,515,9576.738503002838,19293.310111045837
Men,Shorts,Los Angeles CA,1801,669,1132,0.3714602998334259,31.0,55.0,1006,25097.752789869923,49713.920053482056
Women,Shorts,Houston TX,1096,406,690,0.3704379562043796,29.0,55.0,610,14681.300395219847,28934.510069847107
Women,Shorts,Charleston SC,1806,659,1147,0.3648947951273533,30.0,54.0,1020,12544.386548441715,24979.82013273239
Women,Shorts,Philadelphia PA,1600,597,1003,0.373125,29.0,52.39999999999998,891,26350.597084591078,52426.81019973755
Men,Underwear,New Orleans LA,925,343,582,0.3708108108108108,29.0,55.0,525,8059.248215130315,17380.16010761261
Men,Underwear,Savannah GA,4639,1732,2907,0.3733563267945678,30.0,54.0,2563,35855.23479220672,75604.24996948242
Men,Underwear,Mobile AL,873,323,550,0.3699885452462772,29.0,54.0,481,6048.440006443379,12733.650039672852
Men,Underwear,Chicago IL,2224,815,1409,0.3664568345323741,30.0,53.0,1230,19837.24650044867,41739.999897003174
Women,Blazers & Jackets,Los Angeles CA,256,87,169,0.33984375,26.0,51.400000000000006,158,6312.847575141122,16997.299995422363
Women,Clothing Sets,Port Authority of New York/New Jersey NY/NJ,18,7,11,0.3888888888888889,12.0,44.80000000000001,8,435.6523510293305,728.8500061035156
Women,Clothing Sets,Memphis TN,81,32,49,0.3950617283950617,31.0,55.800000000000004,42,4250.94898144937,6711.509986877441
Women,Dresses,Philadelphia PA,914,347,567,0.3796498905908096,31.0,55.0,497,23250.554227803408,50694.98003578186
Women,Dresses,Houston TX,2981,1098,1883,0.3683327742368333,30.0,54.0,1659,105772.94784404933,236431.64015579224
Women,Dresses,Charleston SC,2647,977,1670,0.3690970910464677,31.0,54.0,1471,22235.221627265808,48462.670060157776
Women,Skirts,Memphis TN,796,299,497,0.3756281407035176,29.0,52.0,451,12271.86553621196,30266.21013212204
Women,Skirts,Port Authority of New York/New Jersey NY/NJ,228,82,146,0.35964912280701755,27.0,52.80000000000001,126,2819.406702809522,6914.339984893799
Men,Sleep & Lounge,Houston TX,1260,464,796,0.3682539682539683,27.0,52.0,702,13043.510846349824,32069.06027030945
Women,Sleep & Lounge,Memphis TN,1813,673,1140,0.3712079426365141,30.0,54.0,1023,30913.205733496015,51838.30010032654
Men,Sleep & Lounge,Philadelphia PA,2043,763,1280,0.3734703866862457,31.0,54.0,1139,36156.05734010066,90252.96041488647
Men,Sleep & Lounge,Charleston SC,424,156,268,0.36792452830188677,30.0,52.0,233,6276.013188397743,15348.230005264282
Women,Sleep & Lounge,Port Authority of New York/New Jersey NY/NJ,1110,399,711,0.35945945945945945,29.0,53.0,641,20956.602133190718,34920.61994552612
Men,Sweaters,Philadelphia PA,1745,649,1096,0.37191977077363897,29.0,54.200000000000045,958,39786.038168354164,79035.75005912781
